SDSS_id;SN_type;IAUC_id;Ra;Dec;redshift;Peak_MJD
SN5;SNIa;2004hz;2:5:3.00;+0:50:11.9;0.1426704;53281.6
SN9;SNII;2004hv;23:48:25.95;+1:3:50.3;;53277
SN10;SNIa;2004hw;23:51:17.34;+1:13:39.4;0.0599379;53233
SN12;SNII;2004hy;21:6:4.25;+1:12:57.0;0.0580526;53270
SN13;;;0:33:29.98;+0:45:11.5;0.0598764;53270
SN15;SNIa;2004hu;1:15:2.44;+0:15:42.9;0.047806;53254
SN17;;;0:46:5.56;-0:33:48.0;;53254
SN18;SNII;2004hx;2:41:12.60;-0:52:46.0;0.0381235;53275
SN19;SNIa;2004id;0:6:29.63;-0:28:22.4;0.1506;53294.7
SN20;SNIb;2004ib;2:40:56.40;-0:10:48.3;;53290
SN21;;;2:31:28.49;-0:12:34.7;;53290
SN23;;;3:24:30.68;+0:38:29.0;;53290
SN24;SNII;2004ht;1:4:48.67;-0:53:45.5;0.0648771;53283
SN25;SNIa;2004if;22:39:8.53;-0:51:54.7;;53284.4
SN30;SNIa;2004ia;2:18:2.30;-0:33:32.4;0.1437062;53284.7
SN36;;;23:56:15.66;+0:20:9.0;0.0737414;53284.7
SN40;;;1:54:22.51;+0:41:2.3;;53284.7
SN42;;;1:41:18.09;+0:50:24.4;;53284.7
SN43;;;1:31:30.62;+0:39:51.3;0.1613438;53284.7
SN45;;;1:9:45.07;-0:35:44.5;0.1951614;53284.7
SN50;;;1:14:37.47;+0:39:4.4;0.3553262;53284.7
SN56;;;1:0:13.85;-1:1:37.6;0.1399249;53284.7
SN59;;;0:1:47.15;-0:54:24.8;;53284.7
SN60;;;23:0:27.47;+0:40:32.7;0.24617;53284.7
SN61;;;22:23:22.44;+0:46:19.1;0.2208109;53284.7
SN63;;;22:53:31.39;+0:48:25.3;0.0724548;53284.7
SN64;;;21:24:50.98;+0:12:59.0;;53284.7
SN68;;;21:45:31.21;-0:32:21.7;;53284.7
SN71;;;21:54:57.53;+0:50:40.7;0.2176657;53284.7
SN83;SNIa;2004ie;22:1:46.58;+1:14:12.0;0.051336;53295
SN85;;;22:52:55.78;+0:37:47.0;;53295
SN87;;;22:46:8.58;-0:9:38.9;;53295
SN111;SNII;2004ic;20:40:48.05;+1:2:34.0;0.0933726;53287
SN123;;;1:39:39.55;-0:36:28.6;0.214;53287
SN128;SNIa;2004ih;2:15:54.31;+1:4:10.0;;53303.7
SN133;SNIa;2004ig;0:5:51.79;-0:59:45.1;0.1830107;53306.7
SN138;;;0:18:15.76;+0:16:32.3;0.5761149;53306.7
SN139;;;1:2:39.79;+1:4:17.3;;53306.7
SN140;;;3:14:18.40;+1:9:0.3;;53306.7
SN141;;;1:41:27.05;+1:4:33.9;;53306.7
SN157;;;23:23:37.16;+0:25:22.9;0.0800726;53306.7
SN166;;;1:30:38.78;+0:45:54.1;0.0802023;53306.7
SN171;SNIa;2004io;21:23:37.39;-0:28:0.6;;53319.7
SN172;SNIa;2004ii;0:16:51.80;-0:24:56.9;;53311.6
SN176;SNIa;2004im;23:43:7.78;-0:7:55.5;0.1361;53318.6
SN191;SNIa;2004il;3:7:2.70;-0:0:40.2;0.1071866;53316.9
SN194;SNIa;2004in;1:30:26.06;+0:41:32.4;0.1604386;53317.6
SN198;;;23:44:12.82;-0:29:21.7;;53317.6
SN223;;;22:36:23.74;+0:14:11.7;;53317.6
SN233;;;1:38:35.81;+0:12:26.3;0.1249921;53317.6
SN236;;;1:46:32.30;+0:15:57.2;0.4087361;53317.6
SN240;;;1:57:47.64;-0:29:50.3;0.0802687;53317.6
SN242;SNIa;2004ik;1:44:55.51;-0:5:58.2;;53327.8
SN246;;;2:11:57.30;-0:3:26.7;;53327.8
SN247;SNIa;2004ij;1:21:11.54;-0:55:9.3;;53323.8
SN700;;;22:22:19.06;-0:31:8.4;0.5965593;53323.8
SN702;;;22:26:6.17;-0:32:32.5;0.5783793;53323.8
SN952;;;0:15:0.02;+0:19:8.8;0.4614953;53323.8
SN948;;;3:38:59.83;-0:34:52.5;1.299859;53323.8
SN933;;;1:58:5.12;-0:37:44.3;0.5848775;53323.8
SN708;;;22:40:28.35;+0:46:49.3;0.2140757;53323.8
SN719;;;23:37:3.71;+0:38:12.8;0.4855112;53323.8
SN722;SNIa;2005ed;0:2:49.37;+0:45:4.4;0.0865249;53608
SN730;;;0:21:41.01;+0:38:41.8;0.3083147;53608
SN734;;;0:26:14.28;-0:59:20.8;0.3729235;53608
SN739;SNIa;2005ef;0:58:22.88;+0:40:44.6;0.1076631;53606.9
SN744;SNIa;2005ei;21:56:47.64;+0:19:3.0;0.1278;53608.5
SN762;SNIa;2005eg;1:2:8.48;-0:52:44.3;0.1913979;53622.4
SN768;;;1:21:59.80;-1:2:24.3;0.0543542;53622.4
SN774;SNIa;2005ex;1:41:51.23;-0:52:35.0;0.0934891;53608
SN800;;;3:11:58.71;+0:48:47.9;0.4389109;53608
SN835;;;23:0:7.26;+0:17:39.5;0.2649384;53608
SN853;;;23:39:34.73;-0:29:19.5;0.3564497;53608
SN870;;;22:11:10.99;-0:9:53.2;0.6667835;53608
SN873;;;22:31:22.93;-0:6:18.3;0.5499141;53608
SN976;;;22:6:32.23;+1:10:54.3;0.5148743;53608
SN1032;SNIa;2005ez;3:7:10.97;+1:7:10.4;0.1297552;53624.2
SN1033;;;3:10:45.09;+1:6:30.5;2.043319;53624.2
SN1040;;;3:17:15.79;+1:3:59.0;0.2973899;53624.2
SN1472;SNII;2005lc;3:2:11.18;-1:9:59.5;0.0136066;53623
SN1112;SNIa;2005fg;22:36:4.23;-0:22:30.7;0.2576352;53627.2
SN1114;SNII;2005lb;22:54:50.05;-0:15:9.0;0.0245;53618
SN1119;SNIa;2005fc;21:21:39.25;+0:53:40.8;0.2974;53623.5
SN1135;;;0:29:47.82;-0:22:58.6;0.2286124;53623.5
SN1138;;;22:35:49.58;+0:56:38.0;0.3365114;53623.5
SN1155;;;0:7:50.50;+0:58:15.2;0.3452416;53623.5
SN1162;;;1:19:35.29;-0:20:33.5;0.8575295;53623.5
SN1166;SNIa;;0:37:25.36;+0:58:23.8;0.3824;53628.1
SN1179;;;1:12:40.52;+0:54:28.2;0.236406;53628.1
SN1189;;;1:51:0.77;+0:56:34.9;0.4914913;53628.1
SN1193;;;2:12:47.97;-0:22:56.7;0.4236628;53628.1
SN1204;;;2:12:19.54;+0:58:40.9;0.4559935;53628.1
SN1213;;;2:39:16.85;+0:51:53.9;0.5376862;53628.1
SN1241;SNIa;2005ff;22:30:41.41;-0:46:35.7;0.0902;53635
